,0,1,2,3,4,5,6,7,8,9
Unc5c,-0.029648766,-0.03045624,-0.0056224223,-0.0041310876,0.02964743,0.00042843062,-0.04060067,-0.04208147,0.048580997,0.018677458
Selplg,0.028230734,0.10336235,-0.061123386,-0.06350763,-0.05912169,-0.031309802,-0.009144697,0.0014132515,0.040634792,0.0783145
Ndst3,0.017577164,0.09441948,-0.05130247,-0.06672633,-0.046151634,-0.018945338,-0.001905344,0.009342669,0.029678434,0.090524055
Trpc4,-0.00071397633,0.003982721,-0.008094963,0.0021121434,0.01910449,-0.0063558957,0.00048470727,-0.020617453,0.015860578,0.03583781
Crtac1,-0.026620649,0.004856764,0.050804872,0.0029873194,0.009271409,0.035963442,0.054870177,-0.022252692,0.011605672,0.032126937
Pcdh15,-0.008072044,-0.015925564,0.02351437,0.0020126344,0.010807769,-0.038451277,-0.0666979,-0.048417635,0.026186995,0.0060122455
Acsbg1,0.0028151858,-0.07631553,-0.0004601079,-0.0018574443,-0.04614609,-0.0933389,-0.045736194,-0.018301163,-0.00024510335,0.05054048
Lhfpl3,0.013038155,0.10285726,-0.055845745,-0.08059851,-0.080906205,-0.02586138,0.00435189,0.0049537653,0.029964203,0.092543714
Unc13c,-0.025162628,-0.06808687,0.016192984,0.005421612,-0.049023792,-0.06516556,-0.08106803,-0.037535623,-0.0068516997,0.018458664
Ccl4,-0.0030000687,0.018493894,-0.0059834714,0.009361651,-0.005023421,-0.0009178079,0.0109190075,-0.031288907,0.01508159,0.01610845
Gm28175,-0.013400647,0.009316279,0.019713392,0.056995183,-0.031093804,-0.02539787,0.0009054916,-0.0084202355,0.006696692,-0.012575841
Fcer1g,-0.0469119,0.05377718,-0.023339504,-0.09494396,-0.09353801,-0.0174197,0.0230881,0.009406252,0.032305345,0.12293243
Filip1,0.01330017,-0.018216629,0.029350275,0.01210403,-0.050062,-0.053885274,-0.06857673,-0.024024889,0.02476881,0.0021321292
Grik1,-0.012454456,-0.010350599,0.014002837,0.015193055,-0.024697827,-0.036177095,-0.041849304,-0.022769867,0.013253074,0.012141339
Gabra1,-0.009229514,0.02534627,0.04074233,0.04481599,0.019539962,-0.026382793,-0.018136464,-0.04102896,0.009470919,-0.020524956
Tmcc3,-0.007961783,0.09142432,-0.010255019,-0.06325747,-0.0894318,-0.033496816,-0.0007876262,0.006658989,-0.0044128397,0.08833594
Fgf13,-0.028018441,-0.053989295,-0.024139253,-0.010558556,0.0816199,0.0050275726,-0.067824684,-0.05974654,0.06739719,0.014494644
Elmo1,0.00057928154,0.011489259,0.014198153,0.039230265,-0.030518902,0.0040513338,-0.010492358,0.014416973,0.033806197,0.004220253
Gstm1,-0.03213122,-0.031607546,-0.0017507448,0.041021273,-0.029745491,-0.023143029,0.00080963277,0.0070238793,-0.004591187,0.027079042
Grm7,-0.03956925,0.0123323165,0.03217302,-0.024398537,-0.009029695,0.028712112,0.035717383,-0.032533873,0.025749262,0.03970545
Sema3c,-0.011539492,0.017859092,0.015976494,0.017257063,0.019890515,0.006606463,0.006524226,-0.008479829,0.011313502,0.025553333
Sema3e,0.005575494,0.0045891525,0.016034057,0.047472123,-0.04663716,0.0027592261,0.0007141493,0.032985885,0.047266535,0.008616422
9630002D21Rik,-0.009460637,-0.020634443,0.07424587,-0.02438691,-0.022155764,0.04114438,0.057383064,-0.025985792,0.039440855,0.04045852
Tenm3,-0.020753903,0.03566605,0.0039123883,0.040893294,-0.0018079141,-0.0019657384,-0.019452833,-0.012002346,0.03608983,-0.008795526
Mkx,-0.033306792,0.029287294,0.08026275,0.097045116,-0.044924926,-0.06930052,-0.0368067,-0.0034997594,0.039633114,-0.052830603
